Entity,Code,Year,Net forest conversion


Canada,CAN,1990,-47100
Canada,CAN,2000,-47980
Canada,CAN,2010,-41300
Canada,CAN,2015,-37520

Greenland,GRL,1990,0
Greenland,GRL,2000,0
Greenland,GRL,2010,0
Greenland,GRL,2015,0

Mexico,MEX,1990,-221030
Mexico,MEX,2000,-143800
Mexico,MEX,2010,-122480.00000000001
Mexico,MEX,2015,-127770


United States,USA,1990,108600
United States,USA,2000,518400
United States,USA,2010,275000







































































































































































































































































































































































































































United States,USA,1990,108600
United States,USA,2000,518400
United States,USA,2010,275000
